abilities.0	abilities.1	abilities.2	abilities.3	abilities.4	abilities.5	description	evolution.0	evolution.1	evolution.2	evolution.3	gen	height	id	name	species	stats.attack	stats.defense	stats.hp	stats.sp.atk	stats.sp.def	stats.speed	stats.total	type.0	type.1	weight
Swift Swim	Water Veil	Lightning Rod				In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors.	Goldeen	Seaking			1	1.30m	119	Seaking	Goldfish Pokemon	92	65	80	65	80	68	450	Water		39.0 kg
Illuminate	Natural Cure	Analytic				As long as its red core remains, it can regenerate its body instantly, even if its torn apart.	Staryu	Starmie			1	0.79m	120	Staryu	Star Shape Pokemon	45	55	30	70	55	85	340	Water		34.5 kg
Illuminate	Natural Cure	Analytic				Its core shines in many colors and sends radio signals into space to communicate with something.	Staryu	Starmie			1	1.09m	121	Starmie	Mysterious Pokemon	75	85	60	100	85	115	520	Water	Psychic	80.0 kg
Filter	Soundproof	Technician				It shapes an invisible wall in midair by minutely vibrating its fingertips to stop molecules in the air.	Mr. Mime				1	1.30m	122	Mr. Mime	Barrier Pokemon	45	65	40	100	120	90	460	Psychic	Fairy	54.5 kg
Swarm	Technician	Steadfast				The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.	Scyther				1	1.50m	123	Scyther	Mantis Pokemon	110	80	70	55	80	105	500	Bug	Flying	56.0 kg
Forewarn	Oblivious	Dry Skin				Its cries sound like human speech. However, it is impossible to tell what it is trying to say.	Jynx				1	1.40m	124	Jynx	Human Shape Pokemon	50	35	65	115	95	95	455	Ice	Psychic	40.6 kg
Static	Vital Spirit					Research is progressing on storing lightning in Electabuzz so this energy can be used at any time.	Electabuzz				1	1.09m	125	Electabuzz	Electric Pokemon	83	57	65	95	85	105	490	Electric		30.0 kg
Flame Body	Vital Spirit					The scorching fire exhaled by Magmar forms heat waves around its body, making it hard to see the Pokemon clearly.	Magmar				1	1.30m	126	Magmar	Spitfire Pokemon	95	57	65	100	85	93	495	Fire		44.5 kg
Hyper Cutter	Mold Breaker	Moxie				It grips prey with its powerful pincers and will not let go until the prey is torn in half.					1	1.50m	127	Pinsir	Stag Beetle Pokemon	125	100	65	55	70	85	500	Bug		55.0 kg
Anger Point	Intimidate	Sheer Force				Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature.					1	1.40m	128	Tauros	Wild Bull Pokemon	100	95	75	40	70	110	490	Normal		88.4 kg
Swift Swim	Rattled					A Magikarp living for many years can leap a mountain using Splash. The move remains useless, though.	Magikarp	Gyarados			1	0.89m	129	Magikarp	Fish Pokemon	10	55	20	15	20	80	200	Water		10.0 kg
Intimidate	Moxie					Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm.	Magikarp	Gyarados			1	6.50m	130	Gyarados	Atrocious Pokemon	125	79	95	60	100	81	540	Water	Flying	235.0 kg
Shell Armor	Water Absorb	Hydration				Able to understand human speech and very intelligent, it loves to swim in the sea with people on its back.					1	2.49m	131	Lapras	Transport Pokemon	85	80	130	85	95	60	535	Water	Ice	220.0 kg
Limber	Imposter					It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes.					1	0.30m	132	Ditto	Transform Pokemon	48	48	48	48	48	48	288	Normal		4.0 kg
Adaptability	Run Away	Anticipation				Thanks to its unstable genetic makeup, this special Pokemon conceals many different possible evolutions.	Vaporeon	Jolteon	Flareon	Eevee	1	0.30m	133	Eevee	Evolution Pokemon	55	50	55	45	65	55	325	Normal		6.5 kg
Water Absorb	Hydration					Its cell composition is similar to water molecules. As a result, it cant be seen when it melts away into water.	Vaporeon	Jolteon	Flareon	Eevee	1	0.99m	134	Vaporeon	Bubble Jet Pokemon	65	60	130	110	95	65	525	Water		29.0 kg
Volt Absorb	Quick Feet					By storing electricity in its body, it can shoot its bristlelike fur like a barrage of missiles.	Vaporeon	Jolteon	Flareon	Eevee	1	0.79m	135	Jolteon	Lightning Pokemon	65	60	65	110	95	130	525	Electric		24.5 kg
Flash Fire	Guts					Inhaled air is carried to its flame sac, heated, and exhaled as fire that reaches over 3,000 degrees F.	Vaporeon	Jolteon	Flareon	Eevee	1	0.89m	136	Flareon	Flame Pokemon	130	60	65	95	110	65	525	Fire		25.0 kg
Download	Trace	Analytic				A man-made Pokemon created using advanced scientific means. It can move freely in cyberspace.	Porygon				1	0.79m	137	Porygon	Virtual Pokemon	60	70	65	85	75	40	395	Normal		36.5 kg
Shell Armor	Swift Swim	Weak Armor				A Pokemon that was resurrected from a fossil using modern science. It swam in ancient seas.	Omanyte	Omastar			1	0.41m	138	Omanyte	Spiral Pokemon	40	100	35	90	55	35	355	Rock	Water	7.5 kg
Shell Armor	Swift Swim	Weak Armor				It is thought that this Pokemon became extinct because its spiral shell grew too large.	Omanyte	Omastar			1	0.99m	139	Omastar	Spiral Pokemon	60	125	70	115	70	55	495	Rock	Water	35.0 kg
Battle Armor	Swift Swim	Weak Armor				It is thought to have inhabited beaches 300 million years ago. It is protected by a stiff shell.	Kabuto	Kabutops			1	0.51m	140	Kabuto	Shellfish Pokemon	80	90	30	55	45	55	355	Rock	Water	11.5 kg
Battle Armor	Swift Swim	Weak Armor				It is thought that this Pokemon came onto land because its prey adapted to life on land.	Kabuto	Kabutops			1	1.30m	141	Kabutops	Shellfish Pokemon	115	105	60	65	70	80	495	Rock	Water	40.5 kg
Pressure	Rock Head	Unnerve				A Pokemon that roamed the skies in the dinosaur era. Its teeth are like saw blades.					1	1.80m	142	Aerodactyl	Fossil Pokemon	105	65	80	60	75	130	515	Rock	Flying	59.0 kg
Immunity	Thick Fat	Gluttony				When its belly is full, it becomes too lethargic to even lift a finger, so it is safe to bounce on its belly.	Snorlax				1	2.11m	143	Snorlax	Sleeping Pokemon	110	65	160	65	110	30	540	Normal		460.0 kg
Pressure	Snow Cloak					A legendary bird Pokemon. It can create blizzards by freezing moisture in the air.					1	1.70m	144	Articuno	Freeze Pokemon	85	100	90	95	125	85	580	Ice	Flying	55.4 kg
Pressure	Lightning Rod					A legendary Pokemon that is said to live in thunderclouds. It freely controls lightning bolts.					1	1.60m	145	Zapdos	Electric Pokemon	90	85	90	125	90	100	580	Electric	Flying	52.6 kg
Pressure	Flame Body					One of the legendary bird Pokemon. It is said that its appearance indicates the coming of spring.					1	2.01m	146	Moltres	Flame Pokemon	100	90	90	125	85	90	580	Fire	Flying	60.0 kg
Shed Skin	Marvel Scale					It is called the Mirage Pokemon because so few have seen it. Its shed skin has been found.	Dratini	Dragonair	Dragonite		1	1.80m	147	Dratini	Dragon Pokemon	64	45	41	50	50	50	300	Dragon		3.3 kg
Shed Skin	Marvel Scale					If its body takes on an aura, the weather changes instantly. It is said to live in seas and lakes.	Dratini	Dragonair	Dragonite		1	3.99m	148	Dragonair	Dragon Pokemon	84	65	61	70	70	70	420	Dragon		16.5 kg
Inner Focus	Multiscale					It is said to make its home somewhere in the sea. It guides crews of shipwrecks to shore.	Dratini	Dragonair	Dragonite		1	2.21m	149	Dragonite	Dragon Pokemon	134	95	91	100	100	80	600	Dragon	Flying	210.0 kg
Pressure	Unnerve					A Pokemon created by recombining Mews genes. Its said to have the most savage heart among Pokmon.					1	2.01m	150	Mewtwo	Genetic Pokemon	110	90	106	154	90	130	680	Psychic		122.0 kg
Synchronize						Mew is said to possess the genetic composition of all Pokemon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.					1	0.41m	151	Mew	New Species Pokemon	100	100	100	100	100	100	600	Psychic		4.0 kg
Overgrow	Leaf Guard					Description not available yet					2	0.9m	152	Chikorita	Leaf Pokemon	49	65	45	49	65	45	318	Grass		6.4 kg
Overgrow	Leaf Guard					Description not available yet					2	1.2m	153	Bayleef	Leaf Pokemon	62	80	60	63	80	60	405	Grass		15.8 kg
Overgrow	Leaf Guard					Description not available yet					2	1.8m	154	Meganium	Herb Pokemon	82	100	80	83	100	80	525	Grass		100.5 kg
Blaze	Flash Fire					Description not available yet					2	0.5m	155	Cyndaquil	Fire Mouse Pokemon	52	43	39	60	50	65	309	Fire		7.9 kg
Blaze	Flash Fire					Description not available yet					2	0.9m	156	Quilava	Volcano Pokemon	64	58	58	80	65	80	405	Fire		19 kg
Blaze	Flash Fire					Description not available yet					2	1.7m	157	Typhlosion	Volcano Pokemon	84	78	78	109	85	100	534	Fire		79.5 kg
Torrent	Sheer Force					Description not available yet					2	0.6m	158	Totodile	Big Jaw Pokemon	65	64	50	44	48	43	314	Water		9.5 kg
Torrent	Sheer Force					Description not available yet					2	1.1m	159	Croconaw	Big Jaw Pokemon	80	80	65	59	63	58	405	Water		25 kg
Torrent	Sheer Force					Description not available yet					2	2.3m	160	Feraligatr	Big Jaw Pokemon	105	100	85	79	83	78	530	Water		88.8 kg
Run Away	Keen Eye	Frisk				Description not available yet					2	0.8m	161	Sentret	Scout Pokemon	46	34	35	35	45	20	215	Normal		6 kg
Run Away	Keen Eye	Frisk				Description not available yet					2	1.8m	162	Furret	Long Body Pokemon	76	64	85	45	55	90	415	Normal		32.5 kg
Insomnia	Keen Eye	Tinted Lens				Description not available yet					2	0.7m	163	Hoothoot	Owl Pokemon	30	30	60	36	56	50	262	Normal	Flying	21.2 kg
Insomnia	Keen Eye	Tinted Lens				Description not available yet					2	1.6m	164	Noctowl	Owl Pokemon	50	50	100	86	96	70	452	Normal	Flying	40.8 kg
Swarm	Early Bird	Rattled				Description not available yet					2	1m	165	Ledyba	Five Star Pokemon	20	30	40	40	80	55	265	Bug	Flying	10.8 kg
Swarm	Early Bird	Iron Fist				Description not available yet					2	1.4m	166	Ledian	Five Star Pokemon	35	50	55	55	110	85	390	Bug	Flying	35.6 kg
Swarm	Insomnia	Sniper				Description not available yet					2	0.5m	167	Spinarak	String Spit Pokemon	60	40	40	40	40	30	250	Bug	Poison	8.5 kg
Swarm	Insomnia	Sniper				Description not available yet					2	1.1m	168	Ariados	Long Leg Pokemon	90	70	70	60	70	40	400	Bug	Poison	33.5 kg
Inner Focus	Infiltrator					Description not available yet					2	1.8m	169	Crobat	Bat Pokemon	90	80	85	70	80	130	535	Poison	Flying	75 kg
Volt Absorb	Illuminate	Water Absorb				Description not available yet					2	0.5m	170	Chinchou	Angler Pokemon	38	38	75	56	56	67	330	Water	Electric	12 kg
Volt Absorb	Illuminate	Water Absorb				Description not available yet					2	1.2m	171	Lanturn	Light Pokemon	58	58	125	76	76	67	460	Water	Electric	22.5 kg
Static	Lightningrod					Description not available yet					2	0.3m	172	Pichu	Tiny Mouse Pokemon	40	15	20	35	35	60	205	Electric		2 kg
Cute Charm	Magic Guard	Friend Guard				Description not available yet					2	0.3m	173	Cleffa	Star Shape Pokemon	25	28	50	45	55	15	218	Fairy		3 kg
Cute Charm	Competitive	Friend Guard				Description not available yet					2	0.3m	174	Igglybuff	Balloon Pokemon	30	15	90	40	20	15	210	Normal	Fairy	1 kg
Hustle	Serene Grace	Super Luck				Description not available yet					2	0.3m	175	Togepi	Spike Ball Pokemon	20	65	35	40	65	20	245	Fairy		1.5 kg
Hustle	Serene Grace	Super Luck				Description not available yet					2	0.6m	176	Togetic	Happiness Pokemon	40	85	55	80	105	40	405	Fairy	Flying	3.2 kg
Synchronize	Early Bird	Magic Bounce				Description not available yet					2	0.2m	177	Natu	Little Bird Pokemon	50	45	40	70	45	70	320	Psychic	Flying	2 kg
Synchronize	Early Bird	Magic Bounce				Description not available yet					2	1.5m	178	Xatu	Mystic Pokemon	75	70	65	95	70	95	470	Psychic	Flying	15 kg
Static	Plus					Description not available yet					2	0.6m	179	Mareep	Wool Pokemon	40	40	55	65	45	35	280	Electric		7.8 kg
Static	Plus					Description not available yet					2	0.8m	180	Flaaffy	Wool Pokemon	55	55	70	80	60	45	365	Electric		13.3 kg
Static	Plus					Description not available yet					2	1.4m	181	Ampharos	Light Pokemon	95	105	90	165	110	45	610	Electric		61.5 kg
Chlorophyll	Healer					Description not available yet					2	0.4m	182	Bellossom	Flower Pokemon	80	95	75	90	100	50	490	Grass		5.8 kg
Thick Fat	Huge Power	Sap Sipper				Description not available yet					2	0.4m	183	Marill	Aquamouse Pokemon	20	50	70	20	50	40	250	Water	Fairy	8.5 kg
Thick Fat	Huge Power	Sap Sipper				Description not available yet					2	0.8m	184	Azumarill	Aquarabbit Pokemon	50	80	100	60	80	50	420	Water	Fairy	28.5 kg
Sturdy	Rock Head	Rattled				Description not available yet					2	1.2m	185	Sudowoodo	Imitation Pokemon	100	115	70	30	65	30	410	Rock		38 kg
Water Absorb	Damp	Drizzle				Description not available yet					2	1.1m	186	Politoed	Frog Pokemon	75	75	90	90	100	70	500	Water		33.9 kg
Chlorophyll	Leaf Guard	Infiltrator				Description not available yet					2	0.4m	187	Hoppip	Cottonweed Pokemon	35	40	35	35	55	50	250	Grass	Flying	0.5 kg
Chlorophyll	Leaf Guard	Infiltrator				Description not available yet					2	0.6m	188	Skiploom	Cottonweed Pokemon	45	50	55	45	65	80	340	Grass	Flying	1 kg
Chlorophyll	Leaf Guard	Infiltrator				Description not available yet					2	0.8m	189	Jumpluff	Cottonweed Pokemon	55	70	75	55	95	110	460	Grass	Flying	3 kg
Run Away	Pickup	Skill Link				Description not available yet					2	0.8m	190	Aipom	Long Tail Pokemon	70	55	55	40	55	85	360	Normal		11.5 kg
Chlorophyll	Solar Power	Early Bird				Description not available yet					2	0.3m	191	Sunkern	Seed Pokemon	30	30	30	30	30	30	180	Grass		1.8 kg
Chlorophyll	Solar Power	Early Bird				Description not available yet					2	0.8m	192	Sunflora	Sun Pokemon	75	55	75	105	85	30	425	Grass		8.5 kg
Speed Boost	Compoundeyes	Frisk				Description not available yet					2	1.2m	193	Yanma	Clear Wing Pokemon	65	45	65	75	45	95	390	Bug	Flying	38 kg
Damp	Water Absorb	Unaware				Description not available yet					2	0.4m	194	Wooper	Water Fish Pokemon	45	45	55	25	25	15	210	Water	Ground	8.5 kg
Damp	Water Absorb	Unaware				Description not available yet					2	1.4m	195	Quagsire	Water Fish Pokemon	85	85	95	65	65	35	430	Water	Ground	75 kg
Synchronize	Magic Bounce					Description not available yet					2	0.9m	196	Espeon	Sun Pokemon	65	60	65	130	95	110	525	Psychic		26.5 kg
Synchronize	Inner Focus					Description not available yet					2	1m	197	Umbreon	Moonlight Pokemon	65	110	95	60	130	65	525	Dark		27 kg
Insomnia	Super Luck	Prankster				Description not available yet					2	0.5m	198	Murkrow	Darkness Pokemon	85	42	60	85	42	91	405	Dark	Flying	2.1 kg
Oblivious	Own Tempo	Regenerator				Description not available yet					2	2m	199	Slowking	Royal Pokemon	75	80	95	100	110	30	490	Water	Psychic	79.5 kg
Levitate						Description not available yet					2	0.7m	200	Misdreavus	Screech Pokemon	60	60	60	85	85	85	435	Ghost		1 kg
Levitate						Description not available yet					2	0.5m	201	Unown	Symbol Pokemon	72	48	48	72	48	48	336	Psychic		5 kg
Shadow Tag	Telepathy					Description not available yet					2	1.3m	202	Wobbuffet	Patient Pokemon	33	58	190	33	58	33	405	Psychic		28.5 kg
Inner Focus	Early Bird	Sap Sipper				Description not available yet					2	1.5m	203	Girafarig	Long Neck Pokemon	80	65	70	90	65	85	455	Normal	Psychic	41.5 kg
Sturdy	Overcoat					Description not available yet					2	0.6m	204	Pineco	Bagworm Pokemon	65	90	50	35	35	15	290	Bug		7.2 kg
Sturdy	Overcoat					Description not available yet					2	1.2m	205	Forretress	Bagworm Pokemon	90	140	75	60	60	40	465	Bug	Steel	125.8 kg
Serene Grace	Run Away	Rattled				Description not available yet					2	1.5m	206	Dunsparce	Land Snake Pokemon	70	70	100	65	65	45	415	Normal		14 kg
Hyper Cutter	Sand Veil	Immunity				Description not available yet					2	1.1m	207	Gligar	Flyscorpion Pokemon	75	105	65	35	65	85	430	Ground	Flying	64.8 kg
Rock Head	Sturdy	Sheer Force				Description not available yet					2	9.2m	208	Steelix	Iron Snake Pokemon	125	230	75	55	95	30	610	Steel	Ground	400 kg
Intimidate	Run Away	Rattled				Description not available yet					2	0.6m	209	Snubbull	Fairy Pokemon	80	50	60	40	40	30	300	Fairy		7.8 kg
Intimidate	Quick Feet	Rattled				Description not available yet					2	1.4m	210	Granbull	Fairy Pokemon	120	75	90	60	60	45	450	Fairy		48.7 kg
Poison Point	Swift Swim	Intimidate				Description not available yet					2	0.5m	211	Qwilfish	Balloon Pokemon	95	85	65	55	55	85	440	Water	Poison	3.9 kg
Swarm	Technician	Light Metal				Description not available yet					2	1.8m	212	Scizor	Pincer Pokemon	150	140	70	65	100	75	600	Bug	Steel	118 kg
Sturdy	Gluttony	Contrary				Description not available yet					2	0.6m	213	Shuckle	Mold Pokemon	10	230	20	10	230	5	505	Bug	Rock	20.5 kg
Swarm	Guts	Moxie				Description not available yet					2	1.5m	214	Heracross	Singlehorn Pokemon	185	115	80	40	105	75	600	Bug	Fighting	54 kg
Inner Focus	Keen Eye	Pickpocket				Description not available yet					2	0.9m	215	Sneasel	Sharp Claw Pokemon	95	55	55	35	75	115	430	Dark	Ice	28 kg
Pickup	Quick Feet	Honey Gather				Description not available yet					2	0.6m	216	Teddiursa	Little Bear Pokemon	80	50	60	50	50	40	330	Normal		8.8 kg
Guts	Quick Feet	Unnerve				Description not available yet					2	1.8m	217	Ursaring	Hibernator Pokemon	130	75	90	75	75	55	500	Normal		125.8 kg
Magma Armor	Flame Body	Weak Armor				Description not available yet					2	0.7m	218	Slugma	Lava Pokemon	40	40	40	70	40	20	250	Fire		35 kg
Magma Armor	Flame Body	Weak Armor				Description not available yet					2	0.8m	219	Magcargo	Lava Pokemon	50	120	60	90	80	30	430	Fire	Rock	55 kg
Oblivious	Snow Cloak	Thick Fat				Description not available yet					2	0.4m	220	Swinub	Pig Pokemon	50	40	50	30	30	50	250	Ice	Ground	6.5 kg
Oblivious	Snow Cloak	Thick Fat				Description not available yet					2	1.1m	221	Piloswine	Swine Pokemon	100	80	100	60	60	50	450	Ice	Ground	55.8 kg
Hustle	Natural Cure	Regenerator				Description not available yet					2	0.6m	222	Corsola	Coral Pokemon	55	95	65	65	95	35	410	Water	Rock	5 kg
Hustle	Sniper	Moody				Description not available yet					2	0.6m	223	Remoraid	Jet Pokemon	65	35	35	65	35	65	300	Water		12 kg
Suction Cups	Sniper	Moody				Description not available yet					2	0.9m	224	Octillery	Jet Pokemon	105	75	75	105	75	45	480	Water		28.5 kg
Vital Spirit	Hustle	Insomnia				Description not available yet					2	0.9m	225	Delibird	Delivery Pokemon	55	45	45	65	45	75	330	Ice	Flying	16 kg
Swift Swim	Water Absorb	Water Veil				Description not available yet					2	2.1m	226	Mantine	Kite Pokemon	40	70	85	80	140	70	485	Water	Flying	220 kg
Keen Eye	Sturdy	Weak Armor				Description not available yet					2	1.7m	227	Skarmory	Armor Bird Pokemon	80	140	65	40	70	70	465	Steel	Flying	50.5 kg
Early Bird	Flash Fire	Unnerve				Description not available yet					2	0.6m	228	Houndour	Dark Pokemon	60	30	45	80	50	65	330	Dark	Fire	10.8 kg
Early Bird	Flash Fire	Unnerve				Description not available yet					2	1.4m	229	Houndoom	Dark Pokemon	90	90	75	140	90	115	600	Dark	Fire	35 kg
Swift Swim	Sniper	Damp				Description not available yet					2	1.8m	230	Kingdra	Dragon Pokemon	95	95	75	95	95	85	540	Water	Dragon	152 kg
Pickup	Sand Veil					Description not available yet					2	0.5m	231	Phanpy	Long Nose Pokemon	60	60	90	40	40	40	330	Ground		33.5 kg
Sturdy	Sand Veil					Description not available yet					2	1.1m	232	Donphan	Armor Pokemon	120	120	90	60	60	50	500	Ground		120 kg
Trace	Download	Analytic				Description not available yet					2	0.6m	233	Porygon2	Virtual Pokemon	80	90	85	105	95	60	515	Normal		32.5 kg
Intimidate	Frisk	Sap Sipper				Description not available yet					2	1.4m	234	Stantler	Big Horn Pokemon	95	62	73	85	65	85	465	Normal		71.2 kg
Own Tempo	Technician	Moody				Description not available yet					2	1.2m	235	Smeargle	Painter Pokemon	20	35	55	20	45	75	250	Normal		58 kg
Guts	Steadfast	Vital Spirit				Description not available yet					2	0.7m	236	Tyrogue	Scuffle Pokemon	35	35	35	35	35	35	210	Fighting		21 kg
Intimidate	Technician	Steadfast				Description not available yet					2	1.4m	237	Hitmontop	Handstand Pokemon	95	95	50	35	110	70	455	Fighting		48 kg
Oblivious	Forewarn	Hydration				Description not available yet					2	0.4m	238	Smoochum	Kiss Pokemon	30	15	45	85	65	65	305	Ice	Psychic	6 kg
Static	Vital Spirit					Description not available yet					2	0.6m	239	Elekid	Electric Pokemon	63	37	45	65	55	95	360	Electric		23.5 kg
Flame Body	Vital Spirit					Description not available yet					2	0.7m	240	Magby	Live Coal Pokemon	75	37	45	70	55	83	365	Fire		21.4 kg
Thick Fat	Scrappy	Sap Sipper				Description not available yet					2	1.2m	241	Miltank	Milk Cow Pokemon	80	105	95	40	70	100	490	Normal		75.5 kg
Natural Cure	Serene Grace	Healer				Description not available yet					2	1.5m	242	Blissey	Happiness Pokemon	10	10	255	75	135	55	540	Normal		46.8 kg
Pressure	Inner Focus					Description not available yet					2	1.9m	243	Raikou	Thunder Pokemon	85	75	90	115	100	115	580	Electric		178 kg
Pressure	Inner Focus					Description not available yet					2	2.1m	244	Entei	Volcano Pokemon	115	85	115	90	75	100	580	Fire		198 kg
Pressure	Inner Focus					Description not available yet					2	2m	245	Suicune	Aurora Pokemon	75	115	100	90	115	85	580	Water		187 kg
Guts	Sand Veil					Description not available yet					2	0.6m	246	Larvitar	Rock Skin Pokemon	64	50	50	45	50	41	300	Rock	Ground	72 kg
Shed Skin						Description not available yet					2	1.2m	247	Pupitar	Hard Shell Pokemon	84	70	70	65	70	51	410	Rock	Ground	152 kg
Sand Stream	Unnerve					Description not available yet					2	2m	248	Tyranitar	Armor Pokemon	164	150	100	95	120	71	700	Rock	Dark	202 kg
Pressure	Multiscale					Description not available yet					2	5.2m	249	Lugia	Diving Pokemon	90	130	106	90	154	110	680	Psychic	Flying	216 kg
Pressure	Regenerator					Description not available yet					2	3.8m	250	Ho-Oh	Rainbow Pokemon	130	90	106	110	154	90	680	Fire	Flying	199 kg
Natural Cure						Description not available yet					2	0.6m	251	Celebi	Time Travel Pokemon	100	100	100	100	100	100	600	Psychic	Grass	5 kg
Overgrow	Unburden					Description not available yet					3	0.5m	252	Treecko	Wood Gecko Pokemon	45	35	40	65	55	70	310	Grass		5 kg
Overgrow	Unburden					Description not available yet					3	0.9m	253	Grovyle	Wood Gecko Pokemon	65	45	50	85	65	95	405	Grass		21.6 kg
Overgrow	Unburden					Description not available yet					3	1.7m	254	Sceptile	Forest Pokemon	110	75	70	145	85	145	630	Grass		52.2 kg
Blaze	Speed Boost					Description not available yet					3	0.4m	255	Torchic	Chick Pokemon	60	40	45	70	50	45	310	Fire		2.5 kg
Blaze	Speed Boost					Description not available yet					3	0.9m	256	Combusken	Young Fowl Pokemon	85	60	60	85	60	55	405	Fire	Fighting	19.5 kg
Blaze	Speed Boost					Description not available yet					3	1.9m	257	Blaziken	Blaze Pokemon	160	80	80	130	80	100	630	Fire	Fighting	52 kg
Torrent	Damp					Description not available yet					3	0.4m	258	Mudkip	Mud Fish Pokemon	70	50	50	50	50	40	310	Water		7.6 kg
Torrent	Damp					Description not available yet					3	0.7m	259	Marshtomp	Mud Fish Pokemon	85	70	70	60	70	50	405	Water	Ground	28 kg
Torrent	Damp					Description not available yet					3	1.5m	260	Swampert	Mud Fish Pokemon	150	110	100	95	110	70	635	Water	Ground	81.9 kg
Run Away	Quick Feet	Rattled				Description not available yet					3	0.5m	261	Poochyena	Bite Pokemon	55	35	35	30	30	35	220	Dark		13.6 kg
Intimidate	Quick Feet	Moxie				Description not available yet					3	1m	262	Mightyena	Bite Pokemon	90	70	70	60	60	70	420	Dark		37 kg
Pickup	Gluttony	Quick Feet				Description not available yet					3	0.4m	263	Zigzagoon	Tiny Racoon Pokemon	30	41	38	30	41	60	240	Normal		17.5 kg
Pickup	Gluttony	Quick Feet				Description not available yet					3	0.5m	264	Linoone	Rush Pokemon	70	61	78	50	61	100	420	Normal		32.5 kg
Shield Dust	Run Away					Description not available yet					3	0.3m	265	Wurmple	Worm Pokemon	45	35	45	20	30	20	195	Bug		3.6 kg
Shed Skin						Description not available yet					3	0.6m	266	Silcoon	Cocoon Pokemon	35	55	50	25	25	15	205	Bug		10 kg
Swarm	Rivalry					Description not available yet					3	1m	267	Beautifly	Butterfly Pokemon	70	50	60	100	50	65	395	Bug	Flying	28.4 kg
Shed Skin						Description not available yet					3	0.7m	268	Cascoon	Cocoon Pokemon	35	55	50	25	25	15	205	Bug		11.5 kg
Shield Dust	Compoundeyes					Description not available yet					3	1.2m	269	Dustox	Poison Moth Pokemon	50	70	60	50	90	65	385	Bug	Poison	31.6 kg
Swift Swim	Rain Dish	Own Tempo				Description not available yet					3	0.5m	270	Lotad	Water Weed Pokemon	30	30	40	40	50	30	220	Water	Grass	2.6 kg
Swift Swim	Rain Dish	Own Tempo				Description not available yet					3	1.2m	271	Lombre	Jolly Pokemon	50	50	60	60	70	50	340	Water	Grass	32.5 kg
Swift Swim	Rain Dish	Own Tempo				Description not available yet					3	1.5m	272	Ludicolo	Carefree Pokemon	70	70	80	90	100	70	480	Water	Grass	55 kg
Chlorophyll	Early Bird	Pickpocket				Description not available yet					3	0.5m	273	Seedot	Acorn Pokemon	40	50	40	30	30	30	220	Grass		4 kg
Chlorophyll	Early Bird	Pickpocket				Description not available yet					3	1m	274	Nuzleaf	Wily Pokemon	70	40	70	60	40	60	340	Grass	Dark	28 kg
Chlorophyll	Early Bird	Pickpocket				Description not available yet					3	1.3m	275	Shiftry	Wickid Pokemon	100	60	90	90	60	80	480	Grass	Dark	59.6 kg
Guts	Scrappy					Description not available yet					3	0.3m	276	Taillow	TinySwallow Pokemon	55	30	40	30	30	85	270	Normal	Flying	2.3 kg
Guts	Scrappy					Description not available yet					3	0.7m	277	Swellow	Swallow Pokemon	85	60	60	75	50	125	455	Normal	Flying	19.8 kg
Keen Eye	Hydration	Rain Dish				Description not available yet					3	0.6m	278	Wingull	Seagull Pokemon	30	30	40	55	30	85	270	Water	Flying	9.5 kg
Keen Eye	Drizzle	Rain Dish				Description not available yet					3	1.2m	279	Pelipper	Water Bird Pokemon	50	100	60	95	70	65	440	Water	Flying	28 kg
Synchronize	Trace	Telepathy				Description not available yet					3	0.4m	280	Ralts	Feeling Pokemon	25	25	28	45	35	40	198	Psychic	Fairy	6.6 kg
Synchronize	Trace	Telepathy				Description not available yet					3	0.8m	281	Kirlia	Emotion Pokemon	35	35	38	65	55	50	278	Psychic	Fairy	20.2 kg
Synchronize	Trace	Telepathy				Description not available yet					3	1.6m	282	Gardevoir	Embrace Pokemon	85	65	68	165	135	100	618	Psychic	Fairy	48.4 kg
Swift Swim	Rain Dish					Description not available yet					3	0.5m	283	Surskit	Pond Skater Pokemon	30	32	40	50	52	65	269	Bug	Water	1.7 kg
Intimidate	Unnerve					Description not available yet					3	0.8m	284	Masquerain	Eyeball Pokemon	60	62	70	100	82	80	454	Bug	Flying	3.6 kg
Effect Spore	Poison Heal	Quick Feet				Description not available yet					3	0.4m	285	Shroomish	Mushroom Pokemon	40	60	60	40	60	35	295	Grass		4.5 kg
Effect Spore	Poison Heal	Technician				Description not available yet					3	1.2m	286	Breloom	Mushroom Pokemon	130	80	60	60	60	70	460	Grass	Fighting	39.2 kg
Truant						Description not available yet					3	0.8m	287	Slakoth	Slacker Pokemon	60	60	60	35	35	30	280	Normal		24 kg
Vital Spirit						Description not available yet					3	1.4m	288	Vigoroth	Wild Monkey Pokemon	80	80	80	55	55	90	440	Normal		46.5 kg
Truant						Description not available yet					3	2m	289	Slaking	Lazy Pokemon	160	100	150	95	65	100	670	Normal		130.5 kg
Compoundeyes	Run Away					Description not available yet					3	0.5m	290	Nincada	Trainee Pokemon	45	90	31	30	30	40	266	Bug	Ground	5.5 kg
